industrygrouptype,boom_capital,bust_capital,change
Pooled Investment Fund,691.16,410.29,-280.87
Other Technology,96.05,43.49,-52.56
Other,70.72,49.26,-21.46
Oil and Gas,52.05,19.39,-32.66
Electric Utilities,43.37,15.79,-27.58
Agriculture,39.23,13.06,-26.17
Investing,22.06,4.02,-18.04
Biotechnology,18.62,11.77,-6.85
Other Health Care,17.59,8.75,-8.84
Other Real Estate,13.19,11.40,-1.79
Commercial,9.56,9.03,-0.53
Other Banking and Financial Services,8.40,6.16,-2.24
Residential,7.84,6.44,-1.40
Insurance,7.30,8.31,1.01
Other Energy,6.10,3.12,-2.98
Commercial Banking,5.31,2.46,-2.85
Computers,4.62,0.67,-3.95
Pharmaceuticals,4.54,2.39,-2.15
Business Services,3.95,2.52,-1.43
Retailing,3.83,2.49,-1.34
REITS and Finance,3.08,1.95,-1.13
Manufacturing,2.75,2.74,-0.01
Hospitals and Physicians,1.12,2.82,1.70
Other Travel,0.57,1.03,0.46
Restaurants,0.49,0.83,0.34
Environmental Services,0.47,0.11,-0.36
Telecommunications,0.42,0.51,0.09
Construction,0.38,0.69,0.31
Airlines and Airports,0.28,0.03,-0.25
Lodging and Conventions,0.23,0.13,-0.10
Energy Conservation,0.17,0.30,0.13
Health Insurance,0.13,0.08,-0.05
Tourism and Travel Services,0.08,0.04,-0.04
Investment Banking,0.04,0.17,0.13
Coal Mining,0.01,0.02,0.01
