stateorcountrydescription,deals_2019,deals_2025,total_deals_all_years,growth_pct_2019_to_2025,growth_rank
VERMONT,33,169,971,412.1,1
DELAWARE,117,514,2004,339.3,2
WYOMING,55,139,820,152.7,3
NEBRASKA,46,71,414,54.3,4
NEVADA,144,212,1302,47.2,5
MISSISSIPPI,21,30,170,42.9,6
MONTANA,39,55,318,41.0,7
IDAHO,67,92,638,37.3,8
DISTRICT OF COLUMBIA,83,112,709,34.9,9
FLORIDA,772,1036,7092,34.2,10
ARIZONA,284,370,2524,30.3,11
OKLAHOMA,67,82,555,22.4,12
KANSAS,56,68,569,21.4,13
UTAH,242,289,1875,19.4,14
NEW HAMPSHIRE,43,51,315,18.6,15
MINNESOTA,253,272,1844,7.5,16
GEORGIA,417,443,3005,6.2,17
TENNESSEE,209,222,1575,6.2,18
COLORADO,751,795,5094,5.9,19
TEXAS,1672,1750,12982,4.7,20
ALABAMA,124,129,987,4.0,21
ARKANSAS,75,78,631,4.0,22
SOUTH DAKOTA,26,27,209,3.8,23
NORTH CAROLINA,383,397,2975,3.7,24
WISCONSIN,149,154,1027,3.4,25
LOUISIANA,46,46,341,0.0,26
NEW JERSEY,274,272,2157,-0.7,27
MARYLAND,261,259,1893,-0.8,28
INDIANA,171,168,1307,-1.8,29
MICHIGAN,214,205,1458,-4.2,30
IOWA,80,76,690,-5.0,31
SOUTH CAROLINA,130,123,953,-5.4,32
OHIO,361,334,2436,-7.5,33
WEST VIRGINIA,10,9,58,-10.0,34
MISSOURI,174,153,1051,-12.1,35
KENTUCKY,103,89,654,-13.6,36
NEW YORK,1903,1614,12602,-15.2,37
ILLINOIS,578,485,3962,-16.1,38
ALASKA,16,13,81,-18.8,39
PENNSYLVANIA,451,366,2983,-18.8,40
RHODE ISLAND,30,24,208,-20.0,41
CONNECTICUT,216,162,1387,-25.0,42
VIRGINIA,402,299,2469,-25.6,43
OREGON,248,181,1583,-27.0,44
MAINE,60,42,395,-30.0,45
CALIFORNIA,3395,2260,20870,-33.4,46
MASSACHUSETTS,863,570,5444,-34.0,47
WASHINGTON,671,431,3875,-35.8,48
NORTH DAKOTA,39,25,269,-35.9,49
HAWAII,37,19,144,-48.6,50
NEW MEXICO,49,22,257,-55.1,51
