stateorcountrydescription,filing_year,deal_count
ALABAMA,2019,138
ALABAMA,2020,135
ALABAMA,2021,236
ALABAMA,2022,178
ALABAMA,2023,139
ALABAMA,2024,137
ALABAMA,2025,156
ALASKA,2019,17
ALASKA,2020,11
ALASKA,2021,16
ALASKA,2022,15
ALASKA,2023,7
ALASKA,2024,9
ALASKA,2025,13
ARIZONA,2019,305
ARIZONA,2020,305
ARIZONA,2021,478
ARIZONA,2022,494
ARIZONA,2023,443
ARIZONA,2024,373
ARIZONA,2025,416
ARKANSAS,2019,80
ARKANSAS,2020,89
ARKANSAS,2021,138
ARKANSAS,2022,137
ARKANSAS,2023,82
ARKANSAS,2024,87
ARKANSAS,2025,87
CALIFORNIA,2019,4782
CALIFORNIA,2020,4618
CALIFORNIA,2021,6165
CALIFORNIA,2022,5634
CALIFORNIA,2023,4072
CALIFORNIA,2024,4383
CALIFORNIA,2025,4395
COLORADO,2019,876
COLORADO,2020,825
COLORADO,2021,1032
COLORADO,2022,1030
COLORADO,2023,849
COLORADO,2024,833
COLORADO,2025,984
CONNECTICUT,2019,401
CONNECTICUT,2020,457
CONNECTICUT,2021,633
CONNECTICUT,2022,533
CONNECTICUT,2023,483
CONNECTICUT,2024,513
CONNECTICUT,2025,559
DELAWARE,2019,190
DELAWARE,2020,236
DELAWARE,2021,878
DELAWARE,2022,1266
DELAWARE,2023,1415
DELAWARE,2024,1940
DELAWARE,2025,2775
DISTRICT OF COLUMBIA,2019,138
DISTRICT OF COLUMBIA,2020,171
DISTRICT OF COLUMBIA,2021,259
DISTRICT OF COLUMBIA,2022,259
DISTRICT OF COLUMBIA,2023,153
DISTRICT OF COLUMBIA,2024,130
DISTRICT OF COLUMBIA,2025,179
FLORIDA,2019,1036
FLORIDA,2020,1161
FLORIDA,2021,1744
FLORIDA,2022,1897
FLORIDA,2023,1771
FLORIDA,2024,1751
FLORIDA,2025,1859
GEORGIA,2019,504
GEORGIA,2020,503
GEORGIA,2021,600
GEORGIA,2022,681
GEORGIA,2023,577
GEORGIA,2024,546
GEORGIA,2025,575
HAWAII,2019,38
HAWAII,2020,18
HAWAII,2021,43
HAWAII,2022,20
HAWAII,2023,16
HAWAII,2024,27
HAWAII,2025,25
IDAHO,2019,70
IDAHO,2020,100
IDAHO,2021,114
IDAHO,2022,118
IDAHO,2023,99
IDAHO,2024,87
IDAHO,2025,107
ILLINOIS,2019,882
ILLINOIS,2020,902
ILLINOIS,2021,1118
ILLINOIS,2022,1014
ILLINOIS,2023,892
ILLINOIS,2024,1027
ILLINOIS,2025,917
INDIANA,2019,197
INDIANA,2020,191
